Δn,T,SRH,Label
36783797718286.34,275,0.0010005081690259185,0
40370172585965.5,275,0.0010021453576172555,0
44306214575838.87,275,0.0010039395426319389,0
48626015800653.53,275,0.0010059055009851883,0
53366992312063.016,275,0.0010080593442402077,0
58570208180566.734,275,0.0010104186277710829,0
64280731172843.195,275,0.0010130024665109465,0
70548023107186.31,275,0.0010158316571686771,0
77426368268112.78,275,0.0010189288066525623,0
84975343590864.38,275,0.0010223184662595873,0
93260334688321.8,275,0.0010260272709685064,0
102353102189902.69,275,0.001030084082907316,0
112332403297802.66,275,0.0010345201377443365,0
123284673944206.84,275,0.001039369192369777,0
135304777457980.75,275,0.0010446676717841068,0
148496826225446.34,275,0.0010504548125839187,0
162975083462064.7,275,0.001056772799828846,0
178864952905743.5,275,0.0010636668933796264,0
196304065004026.84,275,0.001071185539014684,0
215443469003188.66,275,0.0010793804587610886,0
236448941264540.72,275,0.0010883067139203005,0
259502421139974.25,275,0.001098022733240823,0
284803586843580.5,275,0.0011085902976077809,0
312571584968823.5,275,0.0011200744715128897,0
343046928631492.6,275,0.0011325434704790303,0
376493580679247.1,275,0.0011460684525986746,0
413201240011533.44,275,0.001160723221478972,0
453487850812859.1,275,0.001176583827261979,0
497702356433211.4,275,0.0011937280521205264,0
546227721768433.7,275,0.0012122347668529444,0
599484250318942.1,275,0.0012321831460659178,0
657933224657568.2,275,0.0012536517311101678,0
722080901838545.6,275,0.0012767173325891202,0
792482898353918.6,275,0.0013014537680593825,0
869749002617783.4,275,0.0013279304356215848,0
954548456661832.8,275,0.0013562107305513074,0
1047615752789666.2,275,0.0013863503199584863,0
1149756995397735.8,275,0.0014183952996023287,0
1261856883066018.5,275,0.0014523802672059163,0
1384886371393874.5,275,0.001488326357529098,0
1519911082952933.2,275,0.0015262392955117752,0
1668100537200055.8,275,0.0015661075342544345,0
1830738280295369.8,275,0.0016079005535608894,0
2009233002565046.0,275,0.0016515674012174855,0
2205130739903041.0,275,0.0016970355620726152,0
2420128264794383.5,275,0.001744210238324992,0
2656087782946684.0,275,0.001792974117436187,0
2915053062825181.5,275,0.001843187691287807,0
3199267137797384.5,275,0.001894690171597417,0
3511191734215142.0,275,0.001947301022732415,0
3853528593710535.5,275,0.0020008221050518537,0
4229242874389499.0,275,0.002055040391459359,0
4641588833612792.0,275,0.0021097311891092392,0
5094138014816386.0,275,0.0021646617695734727,0
5590810182512223.0,275,0.002219595286655345,0
6135907273413188.0,275,0.0022742948435609763,0
6734150657750828.0,275,0.0023285275619142633,0
7390722033525775.0,275,0.002382068504986244,0
8111308307896889.0,275,0.0024347043165174054,0
8902150854450393.0,275,0.0024862364537986386,0
9770099572992246.0,275,0.0025364839176581725,0
1.0722672220103254e+16,275,0.002585285410553123,0
1.176811952435004e+16,275,0.002632500884682728,0
1.2915496650148828e+16,275,0.002678012472521924,0
1.4174741629268076e+16,275,0.0027217248202658457,0
1.5556761439304658e+16,275,0.002763564868669154,0
1.7073526474706888e+16,275,0.0028034811445096265,0
1.8738174228603868e+16,275,0.0028414426388460486,0
2.05651230834866e+16,275,0.0028774373553731632,0
2.257019719633917e+16,275,0.0029114706139550355,0
2.477076355991714e+16,275,0.002943563191629809,0
2.718588242732951e+16,275,0.0029737493770047784,0
2.9836472402833344e+16,275,0.0030020750050522003,0
3.2745491628777316e+16,275,0.0030285955288869974,0
3.5938136638046404e+16,275,0.0030533741740592516,0
3.944206059437648e+16,275,0.0030764802099690586,0
4.3287612810830616e+16,275,0.003097987362771573,0
4.750810162102813e+16,275,0.0031179723849715296,0
5.214008287999674e+16,275,0.0031365137890341727,0
5.72236765935022e+16,275,0.0031536907458538654,0
6.280291441834272e+16,275,0.00316958214380883,0
6.892612104349681e+16,275,0.003184265800301734,0
7.564633275546291e+16,275,0.003197817815003898,0
8.30217568131977e+16,275,0.0032103120523233972,0
9.111627561154869e+16,275,0.0032218197397332585,0
1e+17,275,0.0032324091683592457,0
10000000000000.0,300,0.0009465093422205933,0
10974987654930.545,300,0.0009469401042607258,0
12045035402587.836,300,0.0009474126759435659,0
13219411484660.287,300,0.0009479310951244769,0
14508287784959.373,300,0.0009484997855105725,0
15922827933410.94,300,0.0009491235926934066,0
17475284000076.83,300,0.0009498078233748952,0
19179102616724.926,300,0.0009505582880338819,0
21049041445120.22,300,0.0009513813472922861,0
23101297000831.582,300,0.0009522839622500037,0
25353644939701.168,300,0.0009532737490660723,0
27825594022071.258,300,0.0009543590380693772,0
30538555088334.125,300,0.0009555489376844833,0
33516026509388.477,300,0.0009568534034559795,0
36783797718286.34,300,0.0009582833124467471,0
